ID_BARRIO;BARRIO;POBLACION;COMUNA
1;AGRONOMIA; 13.912 ;15
2;ALMAGRO; 131.699 ;5
3;BALVANERA; 138.926 ;3
4;BARRACAS; 89.452 ;4
5;BELGRANO; 126.267 ;13
6;BOCA; 45.113 ;4
7;BOEDO; 47.306 ;5
8;CABALLITO; 176.076 ;6
9;CHACARITA; 27.761 ;15
10;COGHLAN; 18.604 ;12
11;COLEGIALES; 52.551 ;13
12;CONSTITUCION; 44.107 ;1
13;FLORES; 164.310 ;7
14;FLORESTA; 37.575 ;10
15;LINIERS; 44.132 ;9
16;MATADEROS; 64.436 ;9
17;MONSERRAT; 39.914 ;1
18;MONTE CASTRO; 33.623 ;10
19;NUEVA POMPEYA; 42.695 ;4
20;NUÃ‘EZ; 51.949 ;13
21;PALERMO; 226.534 ;14
22;PARQUE AVELLANEDA; 53.229 ;9
23;PARQUE CHACABUCO; 56.281 ;7
24;PARQUE CHAS; 17.489 ;15
25;PARQUE PATRICIOS; 40.985 ;4
26;PATERNAL; 19.717 ;15
27;PUERTO MADERO; 6.726 ;1
28;RECOLETA; 157.932 ;2
29;RETIRO; 65.413 ;1
30;SAAVEDRA; 50.295 ;12
31;SAN CRISTOBAL; 48.611 ;3
32;SAN NICOLAS; 29.273 ;1
33;SAN TELMO; 20.453 ;1
34;VELEZ SARSFIELD; 35.081 ;10
35;VERSALLES; 13.822 ;10
36;VILLA CRESPO; 81.959 ;15
37;VILLA DEL PARQUE; 55.273 ;11
38;VILLA DEVOTO; 66.521 ;11
39;VILLA GRAL. MITRE; 34.713 ;11
40;VILLA LUGANO; 126.374 ;8
41;VILLA LURO; 32.502 ;10
42;VILLA ORTUZAR; 21.736 ;15
43;VILLA PUEYRREDON; 39.654 ;12
44;VILLA REAL; 13.419 ;10
45;VILLA RIACHUELO; 14.084 ;8
46;VILLA SANTA RITA; 33.325 ;11
47;VILLA SOLDATI; 46.779 ;8
48;VILLA URQUIZA; 91.563 ;12
